text,score
"""@G27Status: I could go for a fat ass bitch on my lap"" same",0.91625386
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",0.911035
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",0.7701451
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",0.6863638
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",0.8540474
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",0.8115627
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",0.78855824
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",0.687436
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",0.8778702
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",0.75208336
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",0.91625386
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",0.60311776
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",0.91625386
"""@HoskinsTy96: White boy power bitch"" black power bitch",0.8403191
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",0.85333383
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",0.6491204
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",0.7856813
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",0.7510937
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",0.7701451
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",0.7510937
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",0.85333383
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",0.7308154
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",0.8403191
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",0.89241093
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",0.8403191
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",0.65996873
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",0.7510937
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",0.8629672
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",0.8778702
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",0.8460273
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",0.75208336
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",0.6544696
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",0.8115627
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",0.7105462
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",0.6667219
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",0.6588125
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",0.681338
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",0.90451443
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",0.89241093
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",0.8988238
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",0.68408644
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",0.85333383
"""@NastyCopper: Money getting taller and bitches getting blurry""",0.718943
"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",0.8299589
"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",0.89241093
"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",0.6020386
"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",0.6027529
"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",0.9061063
"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",0.6852916
"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",0.76197964
"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",0.78711975
"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",0.7701451
"""@QUAN1T0: These bitches don't care they just play that role.""",0.85173553
"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",0.9061063
"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",0.83334327
"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",0.944597
"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",0.8364697
"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't",0.7570315
"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",0.91625386
"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",0.7510937
"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real",0.6611249
"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one.""",0.73663366
"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",0.9061063
"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",0.6342749
"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",0.91625386
"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",0.8299589
"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;""",0.7998551
"""@SukMySweetness: money only impress the simple broke bitches""",0.78711975
"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht",0.61223894
"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:",0.7510937
"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.",0.9248995
"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",0.718943
"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",0.7510937
"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",0.8540474
"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming",0.72028047
"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH",0.64447093
"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5",0.63782936
"""@Thornton25: &#8220;@KantKeepAhBYTCH: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever.",0.8460273
"""@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout",0.78711975
"""@TweetGameLazy: I can ride your bitch with no handle bars""",0.7998551
"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee""",0.6407703
"""@UnHoly_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?",0.7761081
"""@WBeezy_: ""@QuaTheGreat: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?",0.74954444
"""@WitHaPrettyface: @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!",0.65996873
"""@X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco",0.8988238
"""@YEHits_Von: &#8220;@Run_DRC: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;",0.74954444
"""@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702"" Thanks pal",0.6342749
"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",0.78855824
"""@YunGMiGo: @Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",0.7510937
"""@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",0.85850734
"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say.",0.7998551
"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week",0.74954444
"""@_TommyCollins: @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this.",0.8364697
"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here",0.8364697
"""@__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;",0.9248995
"""@__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh",0.7998551
"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",0.76523775
"""@__youreWelcome: Im a boss ass bitch"" ...that needs to sit in a corner",0.85173553
"""@_iwantfranny: He's a hoe , I can't""",0.60311776
"""@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets",0.62702215
"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""",0.83334327
"""@_simplycaitlin: why do my friends hate me"" because you a ratchet hoe..",0.7105462
"""@adriwadrri: No love for these fuck niggas"" hoes*",0.90451443
"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers.",0.64447093
"""@airmaxlad1: Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah.",0.73663366
"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",0.7252971
"""@allisonnamaya_: What should I name my cat, ideas?"" Mr pussy",0.6744087
"""@ambitiousBree: @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me",0.8403191
"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",0.6544696
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",0.8696708
"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",0.6863638
"""@clayton_jenn99: I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",0.74954444
"""@coltforty2Gone: hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!",0.8778702
"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me",0.6744087
"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh",0.90451443
"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892",0.7701451
"""@glowstruck: But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",0.93383175
"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",0.7998551
"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",0.89241093
"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",0.88599813
"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu",0.6027529
"""@jama_jam: You bitches be pretending to be TF crazy.."" You ain't never lied...",0.7856813
"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !""",0.9061063
"""@kikiSTFU: I'll break that lil bitch neck and won't even feel sorry about it"" Savage",0.8629672
"""@likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.",0.9248995
"""@lildurk_: I can turn yo bitch into a eaterrrrrrrrr""",0.8403191
"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend.",0.6027529
"""@midyWIDEY_: I'm rea start smacking bitches period !"" Bluffin at its best",0.71760553
"""@molssyo: One of us is on drugs, and its me but you're still wrong &#128514; @currieburry"" hahahahahahah im a bitch sometimes (:",0.687436
"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh",0.68408644
"""@obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hahahahah",0.93383175
"""@ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)",0.8460273
"""@ozzie_garza: @white_thunduh I'm about to cool faggot chill"" tf is cool nigga",0.718943
"""@poppunksucks: Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",0.8460273
"""@queendulaaa: Got a couple bitches saying they know me But I&#8217;ma let the money talk for me &#128526;&#128076;"" AND I'M LIKE... #WWYD",0.65996873
"""@realFORTES: Grudges are for weirdos""and bitches",0.8540474
"""@roLLYuP23: No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol",0.8988238
"""@royalswagg_: using y=mx+b to find the slope of that ass""",0.7675452
"""@rugbysocklad: Hell yeah bro! http://t.co/9yIb45UD6c"" fuck yeah sexy scally lad in hot gear",0.6827122
"""@savage_twotone: Next year bitches is gonna be like you gotta promise you won't expose me &#128514;&#128514;&#128557;""",0.6989911
"""@scallynikelad: &#8220;@sleazytwinks: So hot!! RT @opcinjen: Lick it, bitch http://t.co/JLoUkqDcOM&#8221;"" fuck yeah. Eat that trainer u dirty fucker",0.85173553
"""@snoleezey801: I don't ever expose females like that.. That's childish.."" bitch nigga shiiii.....",0.9061063
"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout.",0.78855824
"""@splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties""&#128557;&#128514;",0.7701451
"""@stephencdo: @currieburry if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha",0.60254884
"""@talibanshawtyy: Niggas whole hoes out here cuz"" Couldn't had said it better..&#128588;",0.6852916
"""@thebravebird: #YoureNotMyType if my fade is perpetually fresher than yours."" That's a real ass bitch rite there",0.85333383
"""@trutherbot: does he look like a bitch?"" @el_capacitor",0.6342749
"""@whooligan__: can't stand a ""I don't know what I want"" ass nigga &#128564;"" bitch*",0.93383175
"""@wiganzlad: ""@MarkyCrumb: ""@gmail_shorts: I'm on my way http://t.co/MqcZuXlbtT"" love a #chav""hot"" sexy scally fucker.",0.6827122
"""@witmyRUDEass: These newly gay bitches don't kno how shit works""",0.944597
"""@witmyRUDEass: When a bitch don't want a real job they just become strippers lol"" lol.",0.7701451
"""@wodaeeex3: Awww Meat Meat In His Feelins""i ainn n my feelings bitch",0.6588125
"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bitch you just ate tacos you fat fuck",0.96069145
"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch.",0.89241093
"""A pussy a day keeps the devil away"" -@DoperThanYola",0.6863638
"""Ain't that about a bitch""... What does that mean?",0.74954444
"""All these bitches want a baby, I don't want no children.""",0.8540474
"""And bitch you must be lost"" &#128514;&#128514;",0.9248995
"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",0.71760553
"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself.",0.9061063
"""Boolin' in the bando wit a few bitches""",0.7998551
"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday",0.8364697
"""By the way we do punch bitches.""",0.8778702
"""Caesar is home"" RT @Naewoodster: &#8220;@MjaySkillz: https://t.co/mw5KAojKXB""theres so much this bitch looks like. Lets start with ape shit&#8221;&#128557;&#128557;""",0.8540474
"""Don't know no ugly bitches! Don't know no broke niggas!""--@Kevin_Gates",0.85333383
"""Don't you ever give my pussy away. You keep it tight, alright?""",0.8403191
"""Dumb bitches do dumb things""",0.9248995
"""Eat the pussy like a real nigga hungry""",0.93383175
"""Everything look better with a bitch next to it""",0.8460273
"""Facto @ShaunaSayomi: Who cares if you a hoe when your ass looks like this? http://t.co/CJdT987aqf""",0.7998551
"""For every bad bitch there is a nigga tired of fucking her""",0.9391453
"""Foreign chick, no lie.. Man that bitch Beautiful""",0.6989911
"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" http://t.co/Cgx3HNAK9A",0.7510937
"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku""",0.9563754
"""Get me that shit bitch you is fine bear""",0.9288007
"""Get your ass back to Detroit ya fuckin' wigger!""",0.93383175
"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please",0.9248995
"""He a bitch for hitting that hoe"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",0.9248995
"""He married to a white woman... lucky sum-bitch"" - Uncle Ruckus",0.6289369
"""He wanna be my nigga, but I'm just trinna be his savings account &#128553;"" &#128514;&#128557;&#128514;&#128557; omg imma funny ass bitch man, but that's Real Shit &#128175;",0.91625386
"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone",0.7252971
"""Hey pussy you still there?""",0.78855824
"""How hotter than is it?"" ""A bitch.""",0.89241093
"""How you doing, crazy bitch?"" is hilarious!",0.85173553
"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa",0.7308154
"""I don't chase after dudes... I chase after bitches."" - Edgar Bautista",0.7510937
"""I dont even need a picture of tamar, that bitch is beat in every picture""&#128514;&#128557;&#128514;&#128514;&#128514;",0.8364697
"""I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her""",0.85850734
"""I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi""",0.911035
"""I got a sister, she told me stop calling women bitches..""",0.68408644
"""I guess this is the night bitches die...!!!!"" Stewie is that nigga...!",0.9061063
"""I had a bitch that had a bitch, had the bitch eating halibut.."" - @iamyoungroc #FreshRhymes #JerkSquad #SlowStir",0.8403191
