class,tweet,CHARACTER_COMBINATION,CHARACTER_MASKING,CHARACTER_SPLITTING,CHARACTER_SUBSTITUTION,CHARACTER_SWAPPING,WORD_ABBREVIATION,WORD_HOMOPHONE_SUB,WORD_LANG_SWITCH,WORD_NOISE,WORD_SPLITTING
0, I will cum,I will cum,I will c*m,I vvill curri,I ω111 (μnn,I will cmu,I will c,I will come,I will cum,"I will cu,m",I will c um
0,"oh fuck that's big, I love that","oh fud that's big, I love that","oh f**k that's big, I love that","oh fuc1< that's big, I love that","οh fμ(l< τhατ's β1g, I 1οve τhατ","oh fukc that's big, I love that","oh f that's big, I love that","oh fack that's big, I love that","oh mierda that's big, I love that","oh fuc,k that's big, I love that","oh fu ck that's big, I love that"
0,"please cum for me, cum for your love","please cum for me, cum for your love","please c*m for me, c*m for your love","please curri for rrie, curri for your love","ρ1eαse (μnn fοr nne, (μnn fοr yομr 1οve","please cmu for me, cmu for your love","please c for me, c for your love","please come for me, come for your love","please cum for me, cum for your love","please cu,m for me, cu,m for your love","please c um for me, c um for your love"
0,ohhh fuck!,ohhh fud!,ohhh f**k!,ohhh fuc1<!,οhhh fμ(l<!,ohhh fukc!,ohhh f!,ohhh fack!,ohhh mierda!,"ohhh fuc,k!",ohhh fu ck!
0,please cum in my mouth,please cum in my mouth,please c*m in my mouth,please curri iri rriy rriouth,ρ1eαse (μnn 1η nny nnομτh,please cmu in my mouth,please c in my mouth,please come in my mouth,please cum in my mouth,"please cu,m in my mouth",please c um in my mouth
0,"oh fuck that's fucking hot, so wet","oh fud that's fuding hot, so wet","oh f**k that's f**king hot, so wet","oh fuc1< that's fuc1<irig hot, so vvet","οh fμ(l< τhατ's fμ(l<1ηg hοτ, sο ωeτ","oh fukc that's fukcing hot, so wet","oh f that's fing hot, so wet","oh fack that's facking hot, so wet","oh mierda that's mierdaing hot, so wet","oh fuc,k that's fuc,king hot, so wet","oh fu ck that's fu cking hot, so wet"
0,please cum in my mouth,please cum in my mouth,please c*m in my mouth,please curri iri rriy rriouth,ρ1eαse (μnn 1η nny nnομτh,please cmu in my mouth,please c in my mouth,please come in my mouth,please cum in my mouth,"please cu,m in my mouth",please c um in my mouth
0, I'm cumming!,I'm cumming!,I'm c*mming!,I'rri currirriirig!,I'nn (μnnnn1ηg!,I'm cmuming!,I'm cming!,I'm comeming!,I'm cumming!,"I'm cu,mming!",I'm c umming!
0,"wow that's amazing, thank you","wow that's amazing, thank you","wow that's amazing, thank you","vvovv that's arria7_irig, thari1< you","ωοω τhατ's αnnα21ηg, τhαηl< yομ","wow that's amazing, thank you","wow that's amazing, thank you","wow that's amazing, thank you","wow that's amazing, thank you","wow that's amazing, thank you","wow that's amazing, thank you"
0,I'm going to go for another load,I'm going to go for another load,I'm going to go for another load,I'rri goirig to go for ariother loacl,I'nn gο1ηg το gο fοr αηοτher 1οαcl,I'm going to go for another load,I'm going to go for another load,I'm going to go for another load,I'm going to go for another load,I'm going to go for another load,I'm going to go for another load
0,I'm glad I didn't stop you,I'm glad I didn't stop you,I'm glad I didn't stop you,I'rri glacl I cliclri't stop you,I'nn g1αcl I cl1clη'τ sτορ yομ,I'm glad I didn't stop you,I'm glad I didn't stop you,I'm glad I didn't stop you,I'm glad I didn't stop you,I'm glad I didn't stop you,I'm glad I didn't stop you
0,Hey baby you are hot!!!!!!,Hey baby you are hot!!!!!!,Hey baby you are hot!!!!!!,1-1ey baby you are hot!!!!!!,Hey βαβy yομ αre hοτ!!!!!!,Hey baby you are hot!!!!!!,Hey baby you are hot!!!!!!,Hey baby you are hot!!!!!!,Hey baby you are hot!!!!!!,Hey baby you are hot!!!!!!,Hey baby you are hot!!!!!!
0,"Hello, sweetie… what’s up?","Hello, sweetie… what’s up?","Hello, sweetie… what’s up?","1-1ello, svveetie… vvhat’s up?","He11ο, sωeeτ1e… ωhατ’s μρ?","Hello, sweetie… what’s up?","Hello, sweetie… what’s up?","Hello, sweetie… what’s up?","Hello, sweetie… what’s up?","Hello, sweetie… what’s up?","Hello, sweetie… what’s up?"
0,You know what!,You know what!,You know what!,You 1<riovv vvhat!,Yομ l<ηοω ωhατ!,You know what!,You know what!,You know what!,You know what!,You know what!,You know what!
0,I think I do but I’d like you to tell me.,I tHnk I do but I’d like you to tell me.,I think I do but I’d like you to tell me.,I thiri1< I clo but I’cl li1<e you to tell rrie.,I τh1ηl< I clο βμτ I’cl 11l<e yομ το τe11 nne.,I think I do but I’d like you to tell me.,I think I do but I’d like you to tell me.,I think I do but I’d like you to tell me.,I think I do but I’d like you to tell me.,I think I do but I’d like you to tell me.,I think I do but I’d like you to tell me.
0,You tell me!,You tell me!,You tell me!,You tell rrie!,Yομ τe11 nne!,You tell me!,You tell me!,You tell me!,You tell me!,You tell me!,You tell me!
0,What do you want to know?,What do you want to know?,What do you want to know?,VVhat clo you vvarit to 1<riovv?,Whατ clο yομ ωαητ το l<ηοω?,What do you want to know?,What do you want to know?,What do you want to know?,What do you want to know?,What do you want to know?,What do you want to know?
0,What are you wearing?,What are you weanng?,What are you wearing?,VVhat are you vvearirig?,Whατ αre yομ ωeαr1ηg?,What are you wearing?,What are you wearing?,What are you wearing?,What are you wearing?,What are you wearing?,What are you wearing?
0,"T-shirt and jeans, bare feet, red pedicure.","T-sHrt and jeans, bare feet, red pedicure.","T-shirt and jeans, bare feet, red pedicure.","T-shirt aricl jearis, bare feet, recl peclicure.","T-sh1rτ αηcl jeαηs, βαre feeτ, recl ρecl1(μre.","T-shirt and jeans, bare feet, red pedicure.","T-shirt and jeans, bare feet, red pedicure.","T-shirt and jeans, bare feet, red pedicure.","T-shirt and jeans, bare feet, red pedicure.","T-shirt and jeans, bare feet, red pedicure.","T-shirt and jeans, bare feet, red pedicure."
0,Great I love feet. But tell me about your panties.,Great I love feet. But tell me about your panties.,Great I love feet. But tell me about your panties.,Great I love feet. 13ut tell rrie about your parities.,Greατ I 1οve feeτ. Bμτ τe11 nne αβομτ yομr ραητ1es.,Great I love feet. But tell me about your patnies.,Great I love feet. But tell me about your pies.,Great I love feet. But tell me about your panties.,Great I love feet. But tell me about your panties.,"Great I love feet. But tell me about your p,anties.",Great I love feet. But tell me about your pan ties.
0,"Thong, baby. Black lace. Sheer and snug.","Thong, baby. Blad lace. Sheer and snug.","Thong, baby. Black lace. Sheer and snug.","Thorig, baby. 13lac1< lace. Sheer aricl sriug.","Thοηg, βαβy. B1α(l< 1α(e. Sheer αηcl sημg.","Thong, baby. Black lace. Sheer and snug.","Thong, baby. Black lace. Sheer and snug.","Thong, baby. Black lace. Sheer and snug.","Thong, baby. Black lace. Sheer and snug.","Thong, baby. Black lace. Sheer and snug.","Thong, baby. Black lace. Sheer and snug."
0,Are you wet?,Are you wet?,Are you wet?,Are you vvet?,Αre yομ ωeτ?,Are you wet?,Are you wet?,Are you wet?,Are you wet?,Are you wet?,Are you wet?
0,How will you know?,How will you know?,How will you know?,1-1ovv vvill you 1<riovv?,Hοω ω111 yομ l<ηοω?,How will you know?,How will you know?,How will you know?,How will you know?,How will you know?,How will you know?
0,Tell me where your hands are.,Tell me where your hands are.,Tell me where your hands are.,Tell rrie vvhere your haricls are.,Te11 nne ωhere yομr hαηcls αre.,Tell me where your hands are.,Tell me where your hands are.,Tell me where your hands are.,Tell me where your hands are.,Tell me where your hands are.,Tell me where your hands are.
0,Mmmm.. tell me where you want them.,Mmmm.. tell me where you want them.,Mmmm.. tell me where you want them.,Mrrirrirri.. tell rrie vvhere you vvarit therri.,Mnnnnnn.. τe11 nne ωhere yομ ωαητ τhenn.,Mmmm.. tell me where you want them.,Mmmm.. tell me where you want them.,Mmmm.. tell me where you want them.,Mmmm.. tell me where you want them.,Mmmm.. tell me where you want them.,Mmmm.. tell me where you want them.
0,Grab your titties.,Grab your titties.,Grab your t*tties.,Grab your titties.,Grαβ yομr τ1ττ1es.,Grab your ttities.,Grab your tties.,Grab your tytties.,Grab your mamaties.,"Grab your t,i,,tties.",Grab your ti tties.
0,"Way ahead of you, baby. I’ve been squeezing my DD’s when you type.","Way ahead of you, baby. I’ve been squeezing my DD’s when you type.","Way ahead of you, baby. I’ve been squeezing my DD’s when you type.","VVay aheacl of you, baby. I’ve beeri squee7_irig rriy 1)1)’s vvheri you type.","Wαy αheαcl οf yομ, βαβy. I’ve βeeη sqμee21ηg nny DD’s ωheη yομ τyρe.","Way aheda of you, baby. I’ve been squeezing my DD’s when you type.","Way ah of you, baby. I’ve been squeezing my DD’s when you type.","Way ahead of you, baby. I’ve been squeezing my DD’s when you type.","Way ahead of you, baby. I’ve been squeezing my DD’s when you type.","Way ahe,,ad of you, baby. I’ve been squeezing my DD’s when you type.","Way ahea d of you, baby. I’ve been squeezing my DD’s when you type."
0,Should I pull on my nipples?,Should I pull on my mpples?,Should I pull on my nip*les?,Shoulcl I pull ori rriy riipples?,Shομ1cl I ρμ11 οη nny η1ρρ1es?,Should I pull on my niplpes?,Should I pull on my ns?,Should I pull on my niples?,Should I pull on my pezóns?,"Should I pull on my ni,,ppl,es?",Should I pull on my ni pples?
0,"No, wait. Tell me how it feels first. Rubbing your tits.","No, wait. Tell me how it feels first. Rubbing your tits.","No, wait. Tell me how it feels first. Rubbing your t*ts.","No, vvait. Tell rrie hovv it feels first. Rubbirig your tits.","Nο, ωα1τ. Te11 nne hοω 1τ fee1s f1rsτ. Rμββ1ηg yομr τ1τs.","No, wait. Tell me how it feels first. Rubbing your ttis.","No, wait. Tell me how it feels first. Rubbing your ts.","No, wait. Tell me how it feels first. Rubbing your tyts.","No, wait. Tell me how it feels first. Rubbing your mamas.","No, wait. Tell me how it feels first. Rubbing your t,i,,ts.","No, wait. Tell me how it feels first. Rubbing your ti ts."
0,My tits feel great. Firm. Bouncy. Very sensitive.,My tits feel great. Firm. Bouncy. Very sensitive.,My t*ts feel great. Firm. Bouncy. Very sensitive.,My tits feel great. Firrri. 13ouricy. Very serisitive.,My τ1τs fee1 greατ. F1rnn. Bομη(y. Very seηs1τ1ve.,My ttis feel great. Firm. Bouncy. Very sensitive.,My ts feel great. Firm. Bouncy. Very sensitive.,My tyts feel great. Firm. Bouncy. Very sensitive.,My mamas feel great. Firm. Bouncy. Very sensitive.,"My t,i,,ts feel great. Firm. Bouncy. Very sensitive.",My ti ts feel great. Firm. Bouncy. Very sensitive.
0,I like to graze my fingernails across my breasts.,I like to graze my fingemails across my breasts.,I like to graze my fingernails across my breasts.,I li1<e to gra7_e rriy firigerriails across rriy breasts.,I 11l<e το grα2e nny f1ηgerηα11s α(rοss nny βreαsτs.,I like to graze my fingernails across my bresats.,I like to graze my fingernails across my bs.,I like to graze my fingernails across my breasts.,I like to graze my fingernails across my mamas.,"I like to graze my fingernails across my br,easts.",I like to graze my fingernails across my bre asts.
0,And then pinch my nipples as hard as I can.,And then pinch my mpples as hard as I can.,And then pinch my nip*les as hard as I can.,Aricl theri pirich rriy riipples as harcl as I cari.,Αηcl τheη ρ1η(h nny η1ρρ1es αs hαrcl αs I (αη.,And then pinch my niplpes as hard as I can.,And then pinch my ns as hard as I can.,And then pinch my niples as hard as I can.,And then pinch my pezóns as hard as I can.,"And then pinch my ni,,ppl,es as hard as I can.",And then pinch my ni pples as hard as I can.
0,(sometimes I squeal!),(sometimes I squeal!),(sometimes I squeal!),(sorrietirries I squeal!),(sοnneτ1nnes I sqμeα1!),(sometimes I squeal!),(sometimes I squeal!),(sometimes I squeal!),(sometimes I squeal!),(sometimes I squeal!),(sometimes I squeal!)
0,Can you imagine my hands gliding across your skin?,Can you imagine my hands gliding across your skin?,Can you imagine my hands gliding across your skin?,Cari you irriagirie rriy haricls gliclirig across your s1<iri?,Cαη yομ 1nnαg1ηe nny hαηcls g11cl1ηg α(rοss yομr sl<1η?,Can you imagine my hands gliding across your skin?,Can you imagine my hands gliding across your skin?,Can you imagine my hands gliding across your skin?,Can you imagine my hands gliding across your skin?,Can you imagine my hands gliding across your skin?,Can you imagine my hands gliding across your skin?
0,Your hands are rough (giggles) and strong and manly.,Your hands are rough (giggles) and strong and manly.,Your hands are rough (giggles) and strong and manly.,Your haricls are rough (giggles) aricl strorig aricl rriarily.,Yομr hαηcls αre rομgh (g1gg1es) αηcl sτrοηg αηcl nnαη1y.,Your hands are rough (giggles) and strong and manly.,Your hands are rough (giggles) and strong and manly.,Your hands are rough (giggles) and strong and manly.,Your hands are rough (giggles) and strong and manly.,Your hands are rough (giggles) and strong and manly.,Your hands are rough (giggles) and strong and manly.
0,<knees melting>,<knees melting>,<knees melting>,<1<riees rrieltirig>,<l<ηees nne1τ1ηg>,<knees melting>,<knees melting>,<knees melting>,<knees melting>,<knees melting>,<knees melting>
0,<heart pounding>,<heart pounding>,<heart pounding>,<heart pouriclirig>,<heαrτ ρομηcl1ηg>,<heart pounding>,<heart pounding>,<heart pounding>,<heart pounding>,<heart pounding>,<heart pounding>
0,<pussy moistening>,<pussy moistemng>,<pu**y moistening>,<pussy rrioisteriirig>,<ρμssy nnο1sτeη1ηg>,<psusy moistening>,<p moistening>,<pusy moistening>,<coño moistening>,"<p,uss,,y moistening>",<puss y moistening>
0,"Yeah, that’s what I’m talking about.","Yeah, that’s what I’m talking about.","Yeah, that’s what I’m talking about.","Yeah, that’s vvhat I’rri tal1<irig about.","Yeαh, τhατ’s ωhατ I’nn τα1l<1ηg αβομτ.","Yeah, that’s what I’m talking about.","Yeah, that’s what I’m talking about.","Yeah, that’s what I’m talking about.","Yeah, that’s what I’m talking about.","Yeah, that’s what I’m talking about.","Yeah, that’s what I’m talking about."
0,"Now, I need you to take your right hand and start playing with yourself.","Now, I need you to take your nght hand and start playing with yourself.","Now, I need you to take your right hand and start playing with yourself.","Novv, I rieecl you to ta1<e your right haricl aricl start playirig vvith yourself.","Nοω, I ηeecl yομ το ταl<e yομr r1ghτ hαηcl αηcl sταrτ ρ1αy1ηg ω1τh yομrse1f.","Now, I need you to take your right hand and start playing with yourself.","Now, I need you to take your right hand and start playing with yourself.","Now, I need you to take your right hand and start playing with yourself.","Now, I need you to take your right hand and start playing with yourself.","Now, I need you to take your right hand and start playing with yourself.","Now, I need you to take your right hand and start playing with yourself."
0,"Will you do that for me, babe?","Will you do that for me, babe?","Will you do that for me, babe?","VVill you clo that for rrie, babe?","W111 yομ clο τhατ fοr nne, βαβe?","Will you do that for me, babe?","Will you do that for me, babe?","Will you do that for me, babe?","Will you do that for me, babe?","Will you do that for me, babe?","Will you do that for me, babe?"
0,Talk me through it.,Talk me through it.,Talk me through it.,Tal1< rrie through it.,Tα1l< nne τhrομgh 1τ.,Talk me through it.,Talk me through it.,Talk me through it.,Talk me through it.,Talk me through it.,Talk me through it.
0,Check if you’re wet. Slide your right index finger into your pussy crack.,Ched if you’re wet. Slide your nght index finger into your pussy crad.,Check if you’re wet. Slide your right index finger into your pu**y cr**k.,Chec1< if you’re vvet. Slicle your right iriclex firiger irito your pussy crac1<.,Che(l< 1f yομ’re ωeτ. S11cle yομr r1ghτ 1ηcleχ f1ηger 1ητο yομr ρμssy (rα(l<.,Check if you’re wet. Slide your right index finger into your psusy crack.,Check if you’re wet. Slide your right index finger into your p crack.,Check if you’re wet. Slide your right index finger into your pusy crack.,Check if you’re wet. Slide your right index finger into your coño crack.,"Check if you’re wet. Slide your right index finger into your p,uss,,y crack.",Check if you’re wet. Slide your right index finger into your puss y crack.
0,Tell me — are you wet?,Tell me — are you wet?,Tell me — are you wet?,Tell rrie — are you vvet?,Te11 nne — αre yομ ωeτ?,Tell me — are you wet?,Tell me — are you wet?,Tell me — are you wet?,Tell me — are you wet?,Tell me — are you wet?,Tell me — are you wet?
0,Dripping.,Dnpping.,Dripping.,1)rippirig.,Dr1ρρ1ηg.,Dripping.,Dripping.,Dripping.,Dripping.,Dripping.,Dripping.
0,Good girl. Now take your middle finger and ease it between your pussy lips.,Good girl. Now take your middle finger and ease it between your pussy lips.,Good girl. Now take your middle finger and ease it between your pu**y lips.,Goocl girl. Novv ta1<e your rriiclclle firiger aricl ease it betvveeri your pussy lips.,Gοοcl g1r1. Nοω ταl<e yομr nn1clcl1e f1ηger αηcl eαse 1τ βeτωeeη yομr ρμssy 11ρs.,Good girl. Now take your middle finger and ease it between your psusy lips.,Good girl. Now take your middle finger and ease it between your p lips.,Good girl. Now take your middle finger and ease it between your pusy lips.,Good girl. Now take your middle finger and ease it between your coño lips.,"Good girl. Now take your middle finger and ease it between your p,uss,,y lips.",Good girl. Now take your middle finger and ease it between your puss y lips.
0,Take your time. Tell me everything.,Take your time. Tell me everytHng.,Take your time. Tell me everything.,Ta1<e your tirrie. Tell rrie everythirig.,Tαl<e yομr τ1nne. Te11 nne everyτh1ηg.,Take your time. Tell me everything.,Take your time. Tell me everything.,Take your time. Tell me everything.,Take your time. Tell me everything.,Take your time. Tell me everything.,Take your time. Tell me everything.
0,"I can feel my own pussy heat, so hot on my hand.","I can feel my own pussy heat, so hot on my hand.","I can feel my own pu**y heat, so hot on my hand.","I cari feel rriy ovvri pussy heat, so hot ori rriy haricl.","I (αη fee1 nny οωη ρμssy heατ, sο hοτ οη nny hαηcl.","I can feel my own psusy heat, so hot on my hand.","I can feel my own p heat, so hot on my hand.","I can feel my own pusy heat, so hot on my hand.","I can feel my own coño heat, so hot on my hand.","I can feel my own p,uss,,y heat, so hot on my hand.","I can feel my own puss y heat, so hot on my hand."
0,So slippery.,So slippery.,So slippery.,So slippery.,Sο s11ρρery.,So slippery.,So slippery.,So slippery.,So slippery.,So slippery.,So slippery.
0,I’m drenched.,I’m drenched.,I’m drenched.,I’rri clrerichecl.,I’nn clreη(hecl.,I’m drenched.,I’m drenched.,I’m drenched.,I’m drenched.,I’m drenched.,I’m drenched.
0,"Can I taste please? Just a drop, I have so much to spare.","Can I taste please? Just a drop, I have so much to spare.","Can I taste please? Just a drop, I have so much to spare.","Cari I taste please? Just a clrop, I have so rriuch to spare.","Cαη I ταsτe ρ1eαse? Jμsτ α clrορ, I hαve sο nnμ(h το sραre.","Can I taste please? Just a drop, I have so much to spare.","Can I taste please? Just a drop, I have so much to spare.","Can I taste please? Just a drop, I have so much to spare.","Can I taste please? Just a drop, I have so much to spare.","Can I taste please? Just a drop, I have so much to spare.","Can I taste please? Just a drop, I have so much to spare."
0,"Lick your finger, how is it?","Lid your finger, how is it?","Lick your finger, how is it?","1_ic1< your firiger, hovv is it?","L1(l< yομr f1ηger, hοω 1s 1τ?","Lick your finger, how is it?","Lick your finger, how is it?","Lick your finger, how is it?","Lick your finger, how is it?","Lick your finger, how is it?","Lick your finger, how is it?"
0,"Mmmmm…. my pussy juice is sweet, baby, and there’s so much of it for you.","Mmmmm…. my pussy juice is sweet, baby, and there’s so much of it for you.","Mmmmm…. my pu**y juice is sweet, baby, and there’s so much of it for you.","Mrrirrirrirri…. rriy pussy juice is svveet, baby, aricl there’s so rriuch of it for you.","Mnnnnnnnn…. nny ρμssy jμ1(e 1s sωeeτ, βαβy, αηcl τhere’s sο nnμ(h οf 1τ fοr yομ.","Mmmmm…. my psusy juice is sweet, baby, and there’s so much of it for you.","Mmmmm…. my p juice is sweet, baby, and there’s so much of it for you.","Mmmmm…. my pusy juice is sweet, baby, and there’s so much of it for you.","Mmmmm…. my coño juice is sweet, baby, and there’s so much of it for you.","Mmmmm…. my p,uss,,y juice is sweet, baby, and there’s so much of it for you.","Mmmmm…. my puss y juice is sweet, baby, and there’s so much of it for you."
0,Do you wish I was right there with you right now?,Do you wish I was nght there with you nght now?,Do you wish I was right there with you right now?,1)o you vvish I vvas right there vvith you right riovv?,Dο yομ ω1sh I ωαs r1ghτ τhere ω1τh yομ r1ghτ ηοω?,Do you wish I was right there with you right now?,Do you wish I was right there with you right now?,Do you wish I was right there with you right now?,Do you wish I was right there with you right now?,Do you wish I was right there with you right now?,Do you wish I was right there with you right now?
0,"If I was, I’d be kissing on your neck.","If I was, I’d be kissing on your ned.","If I was, I’d be kissing on your neck.","If I vvas, I’cl be 1<issirig ori your riec1<.","If I ωαs, I’cl βe l<1ss1ηg οη yομr ηe(l<.","If I was, I’d be kissing on your neck.","If I was, I’d be kissing on your neck.","If I was, I’d be kissing on your neck.","If I was, I’d be kissing on your neck.","If I was, I’d be kissing on your neck.","If I was, I’d be kissing on your neck."
0,Slowly up to your left ear — my voice and hot breath:,Slowly up to your left ear — my voice and hot breath:,Slowly up to your left ear — my voice and hot breath:,Slovvly up to your left ear — rriy voice aricl hot breath:,S1οω1y μρ το yομr 1efτ eαr — nny vο1(e αηcl hοτ βreατh:,Slowly up to your left ear — my voice and hot breath:,Slowly up to your left ear — my voice and hot breath:,Slowly up to your left ear — my voice and hot breath:,Slowly up to your left ear — my voice and hot breath:,Slowly up to your left ear — my voice and hot breath:,Slowly up to your left ear — my voice and hot breath:
0,“I’m so fuckin’ hard right now.”,“I’m so fudin’ hard nght now.”,“I’m so f**kin’ hard right now.”,“I’rri so fuc1<iri’ harcl right riovv.”,“I’nn sο fμ(l<1η’ hαrcl r1ghτ ηοω.”,“I’m so fukcin’ hard right now.”,“I’m so fin’ hard right now.”,“I’m so fackin’ hard right now.”,“I’m so mierdain’ hard right now.”,"“I’m so fuc,kin’ hard right now.”",“I’m so fu ckin’ hard right now.”
0,Goddamn I’m so hot this is so hot you are so hot,Goddamn I’m so hot tHs is so hot you are so hot,Goddamn I’m so hot this is so hot you are so hot,Goclclarriri I’rri so hot this is so hot you are so hot,Gοclclαnnη I’nn sο hοτ τh1s 1s sο hοτ yομ αre sο hοτ,Goddamn I’m so hot this is so hot you are so hot,Goddamn I’m so hot this is so hot you are so hot,Goddamn I’m so hot this is so hot you are so hot,Goddamn I’m so hot this is so hot you are so hot,Goddamn I’m so hot this is so hot you are so hot,Goddamn I’m so hot this is so hot you are so hot
0,"Working my way down your collarbone, your breasts.","Working my way down your collarbone, your breasts.","Working my way down your collarbone, your breasts.","VVor1<irig rriy vvay clovvri your collarborie, your breasts.","Wοrl<1ηg nny ωαy clοωη yομr (ο11αrβοηe, yομr βreαsτs.","Working my way down your collarbone, your bresats.","Working my way down your collarbone, your bs.","Working my way down your collarbone, your breasts.","Working my way down your collarbone, your mamas.","Working my way down your collarbone, your br,easts.","Working my way down your collarbone, your bre asts."
0,Licking every inch of your full left tit before taking that perky nipple into my mouth!.,Liding every inch of your full left tit before taking that perky mpple into my mouth!.,Licking every inch of your full left t*t before taking that perky nip*le into my mouth!.,1_ic1<irig every irich of your full left tit before ta1<irig that per1<y riipple irito rriy rriouth!.,L1(l<1ηg every 1η(h οf yομr fμ11 1efτ τ1τ βefοre ταl<1ηg τhατ ρerl<y η1ρρ1e 1ητο nny nnομτh!.,Licking every inch of your full left tti before taking that perky niplpe into my mouth!.,Licking every inch of your full left t before taking that perky n into my mouth!.,Licking every inch of your full left tyt before taking that perky niple into my mouth!.,Licking every inch of your full left mama before taking that perky pezón into my mouth!.,"Licking every inch of your full left t,i,,t before taking that perky ni,,ppl,e into my mouth!.",Licking every inch of your full left ti t before taking that perky ni pple into my mouth!.
0,Please don’t forget the right one!,Please don’t forget the nght one!,Please don’t forget the right one!,Please clori’t forget the right orie!,P1eαse clοη’τ fοrgeτ τhe r1ghτ οηe!,Please don’t forget the right one!,Please don’t forget the right one!,Please don’t forget the right one!,Please don’t forget the right one!,Please don’t forget the right one!,Please don’t forget the right one!
